"subject","acc","model","fit"
83,0.75,"Q * gaze",0.742
83,0.75,"Q + gaze",0.723
83,0.75,"softmax(Q)",0.884
83,0.75,"softmax(Q * gaze)",0.7745
83,0.75,"softmax(Q) * gaze",0.842
83,0.75,"softmax(Q) + gaze",0.8585
84,0.95,"Q",0.729
84,0.95,"Q * gaze",0.7695
84,0.95,"Q + gaze",0.7245
84,0.95,"softmax(Q)",0.8675
84,0.95,"softmax(Q * gaze)",0.899
84,0.95,"softmax(Q) * gaze",0.8425
84,0.95,"softmax(Q) + gaze",0.846
85,0.4,"Q",0.525
85,0.4,"Q * gaze",0.5615
85,0.4,"Q + gaze",0.5375
85,0.4,"softmax(Q)",0.5305
85,0.4,"softmax(Q * gaze)",0.573
85,0.4,"softmax(Q) * gaze",0.579
85,0.4,"softmax(Q) + gaze",0.562
86,0.75,"Q",0.761000000000001
86,0.75,"Q * gaze",0.593
86,0.75,"Q + gaze",0.7385
86,0.75,"softmax(Q)",0.828
86,0.75,"softmax(Q * gaze)",0.618
86,0.75,"softmax(Q) * gaze",0.7775
86,0.75,"softmax(Q) + gaze",0.8395
88,0.65,"Q",0.5945
88,0.65,"Q * gaze",0.609
88,0.65,"Q + gaze",0.628
88,0.65,"softmax(Q)",0.701
88,0.65,"softmax(Q * gaze)",0.778
88,0.65,"softmax(Q) * gaze",0.682
88,0.65,"softmax(Q) + gaze",0.6945
89,0.55,"Q",0.7175
89,0.55,"Q * gaze",0.676
89,0.55,"Q + gaze",0.628
89,0.55,"softmax(Q)",0.801
89,0.55,"softmax(Q * gaze)",0.675
89,0.55,"softmax(Q) * gaze",0.735
89,0.55,"softmax(Q) + gaze",0.7185
90,0.9,"Q",0.6925
90,0.9,"Q * gaze",0.7095
90,0.9,"Q + gaze",0.64
90,0.9,"softmax(Q)",0.748
90,0.9,"softmax(Q * gaze)",0.788
90,0.9,"softmax(Q) * gaze",0.757
90,0.9,"softmax(Q) + gaze",0.7285
