"trial_number","mean_RT","sd_RT","n","se","upper","lower","model","fit"
19,2440.70674698795,1398.32129080805,83,153.485701713374,2594.19244870133,2287.22104527458,"softmax(Q + gaze)",2475.05435877133
20,2371.29304878049,1344.18539005553,82,148.440443951345,2519.73349273183,2222.85260482914,"Q",2462.57244908884
20,2371.29304878049,1344.18539005553,82,148.440443951345,2519.73349273183,2222.85260482914,"Q * gaze",2592.62760746827
20,2371.29304878049,1344.18539005553,82,148.440443951345,2519.73349273183,2222.85260482914,"Q + gaze",2477.07416033117
20,2371.29304878049,1344.18539005553,82,148.440443951345,2519.73349273183,2222.85260482914,"softmax(Q)",2488.9777491242
20,2371.29304878049,1344.18539005553,82,148.440443951345,2519.73349273183,2222.85260482914,"softmax(Q * gaze)",2474.07782971987
20,2371.29304878049,1344.18539005553,82,148.440443951345,2519.73349273183,2222.85260482914,"softmax(Q) * gaze",2669.19192698296
20,2371.29304878049,1344.18539005553,82,148.440443951345,2519.73349273183,2222.85260482914,"softmax(Q) + gaze",2470.27820250242
20,2371.29304878049,1344.18539005553,82,148.440443951345,2519.73349273183,2222.85260482914,"softmax(Q + gaze)",2506.03794102815
21,2258.55925925926,1323.37398090145,81,147.041553433494,2405.60081269275,2111.51770582577,"Q",2539.87580054798
21,2258.55925925926,1323.37398090145,81,147.041553433494,2405.60081269275,2111.51770582577,"Q * gaze",2542.42626938021
21,2258.55925925926,1323.37398090145,81,147.041553433494,2405.60081269275,2111.51770582577,"Q + gaze",2445.08029268515
21,2258.55925925926,1323.37398090145,81,147.041553433494,2405.60081269275,2111.51770582577,"softmax(Q)",2488.73641133727
21,2258.55925925926,1323.37398090145,81,147.041553433494,2405.60081269275,2111.51770582577,"softmax(Q * gaze)",2423.258889279
21,2258.55925925926,1323.37398090145,81,147.041553433494,2405.60081269275,2111.51770582577,"softmax(Q) * gaze",2528.80745651478
21,2258.55925925926,1323.37398090145,81,147.041553433494,2405.60081269275,2111.51770582577,"softmax(Q) + gaze",2429.15919002196
21,2258.55925925926,1323.37398090145,81,147.041553433494,2405.60081269275,2111.51770582577,"softmax(Q + gaze)",2425.72867206377
22,2549.48231707317,1514.34717541411,82,167.231669588113,2716.71398666128,2382.25064748506,"Q",2483.99451683842
22,2549.48231707317,1514.34717541411,82,167.231669588113,2716.71398666128,2382.25064748506,"Q * gaze",2593.22774575962
22,2549.48231707317,1514.34717541411,82,167.231669588113,2716.71398666128,2382.25064748506,"Q + gaze",2479.02817779072
22,2549.48231707317,1514.34717541411,82,167.231669588113,2716.71398666128,2382.25064748506,"softmax(Q)",2490.50078137592
22,2549.48231707317,1514.34717541411,82,167.231669588113,2716.71398666128,2382.25064748506,"softmax(Q * gaze)",2473.38454903492
22,2549.48231707317,1514.34717541411,82,167.231669588113,2716.71398666128,2382.25064748506,"softmax(Q) * gaze",2620.9628734756
