"subject","gaze_beta","model","gaze_effect","fitted_effect"
11,0.351168698269801,"softmax(Q + gaze)",0.583333333333333,0.555
12,0.436755715182017,"Q",0.583333333333333,0.0733333333333334
12,0.436755715182017,"Q * gaze",0.583333333333333,0.666666666666667
12,0.436755715182017,"Q + gaze",0.583333333333333,0.5575
12,0.436755715182017,"softmax(Q)",0.583333333333333,0.149166666666667
12,0.436755715182017,"softmax(Q * gaze)",0.583333333333333,0.6675
12,0.436755715182017,"softmax(Q) * gaze",0.583333333333333,0.603333333333333
12,0.436755715182017,"softmax(Q) + gaze",0.583333333333333,0.498333333333333
12,0.436755715182017,"softmax(Q + gaze)",0.583333333333333,0.628333333333333
13,0.786207490667189,"Q",0.833333333333333,0.00333333333333341
13,0.786207490667189,"Q * gaze",0.833333333333333,0.835833333333333
13,0.786207490667189,"Q + gaze",0.833333333333333,0.7625
13,0.786207490667189,"softmax(Q)",0.833333333333333,-0.02
13,0.786207490667189,"softmax(Q * gaze)",0.833333333333333,0.78
13,0.786207490667189,"softmax(Q) * gaze",0.833333333333333,0.8325
13,0.786207490667189,"softmax(Q) + gaze",0.833333333333333,0.8025
13,0.786207490667189,"softmax(Q + gaze)",0.833333333333333,0.8075
15,0.0562680138676274,"Q",0.333333333333333,0.0650000000000001
15,0.0562680138676274,"Q * gaze",0.333333333333333,0.639166666666667
15,0.0562680138676274,"Q + gaze",0.333333333333333,0.190833333333333
15,0.0562680138676274,"softmax(Q)",0.333333333333333,0.0275000000000001
15,0.0562680138676274,"softmax(Q * gaze)",0.333333333333333,0.395833333333333
15,0.0562680138676274,"softmax(Q) * gaze",0.333333333333333,0.6625
15,0.0562680138676274,"softmax(Q) + gaze",0.333333333333333,0.221666666666667
15,0.0562680138676274,"softmax(Q + gaze)",0.333333333333333,0.395833333333333
16,0.140560086748308,"Q",0,-0.0516666666666667
16,0.140560086748308,"Q * gaze",0,0.395833333333333
16,0.140560086748308,"Q + gaze",0,0.1375
