"","(Intercept)","trial_number_z","ev_difference_z","gaze_diff_z","OEV_z","trial_number_z:ev_difference_z","trial_number_z:gaze_diff_z","trial_number_z:OEV_z"
"66",6.8765183455809,-0.143891032786289,-0.0264252801330008,-0.00303751246250121,-0.0342717177138966,-0.00889141111356841,-0.00968843753849778,-0.00244081032737587
"67",7.20915393408322,-0.373339382126689,-0.0270921471797058,-0.0234912574111901,-0.0286023190448264,-0.00889141111356841,-0.00968843753849778,-0.0169927818074177
"68",7.81757882276109,0.0224324284069419,-0.00839248332426458,-0.0531359796723932,-0.0608703722971024,-0.00889141111356841,-0.00968843753849778,-0.0238966777781891
"69",7.72606718356762,0.0162844775548203,-0.0631671317145132,-0.02320222022097,-0.145852690872034,-0.00889141111356841,-0.00968843753849778,-0.0320006953832892
"70",7.7201716832064,-0.125263672314769,-0.0469475410021723,-0.0430844347701541,-0.0981258997922476,-0.00889141111356841,-0.00968843753849778,-0.00997110658037539
"71",8.1281724935816,-0.0981018041782756,-0.059690396505364,-0.0570821790059644,-0.00107397225873382,-0.00889141111356841,-0.00968843753849778,0.00575070309397772
"72",7.69155293580548,0.00384582692821239,-0.0452466166121457,-0.0204944847602182,0.00616985627181643,-0.00889141111356841,-0.00968843753849778,-0.0135572071036666
"73",7.54386851206768,-0.142721833725339,-0.0256214514054602,-0.0722561024161595,-0.0153088622644297,-0.00889141111356841,-0.00968843753849778,-0.0166899265858457
"74",7.61127890244202,-0.182608119092713,-0.0934998526641096,-0.05121406644497,-0.12979069068434,-0.00889141111356841,-0.00968843753849778,-0.00715999373953367
"75",7.51745925120078,-0.0678125724123101,-0.0195562967339524,-0.0378622002422094,-0.0548395948104654,-0.00889141111356841,-0.00968843753849778,-0.0117130376840512
"76",7.37040858436334,-0.185798833587426,-0.0447184292849567,-0.00364314559939609,-0.0813828219705942,-0.00889141111356841,-0.00968843753849778,-0.0118288847666804
"77",7.77953314402846,-0.113882240141794,-0.0184983757957298,-0.0488090816306065,0.00797809357232701,-0.00889141111356841,-0.00968843753849778,-0.000537782982835383
"78",8.28661384956516,0.0114300168761475,-0.0442757936239106,-0.0491704254904288,-0.00523921686908743,-0.00889141111356841,-0.00968843753849778,-0.0198868638922619
"79",7.72048109320211,-0.0667833152270836,-0.0209197718350815,-0.04781353983834,-0.0171864971272358,-0.00889141111356841,-0.00968843753849778,-0.024953532790359
"80",8.07522163360627,-0.278218446712194,-0.0403803225987651,-0.02915853085681,0.0104330093060644,-0.00889141111356841,-0.00968843753849778,-0.014871789721967
"81",7.81125823042749,-0.183122342460382,-0.0692960462477324,-0.0732230419796987,-0.0214663948594927,-0.00889141111356841,-0.00968843753849778,-0.0293103396312394
"82",7.4200307937672,0.119933841030298,-0.0333213899148679,-0.052499165570735,-0.00202225261708907,-0.00889141111356841,-0.00968843753849778,-0.0136100033629122
"83",7.60968216643377,-0.279134431351189,-0.0751432066480137,-0.031582993863379,-0.00404871046921187,-0.00889141111356841,-0.00968843753849778,-0.0206327162856842
"84",7.58705148069751,-0.182611064456274,-0.0453295847775746,-0.0265271620823673,-0.0523112684477141,-0.00889141111356841,-0.00968843753849778,-0.0334958430199667
"85",6.72119402290885,-0.108714231207412,-0.0287207338112539,-0.00989593988968508,0.0168373625770026,-0.00889141111356841,-0.00968843753849778,-0.0181804004058368
"86",7.38624660070205,0.0491939566202427,-0.0427562861751978,-0.00758181303634822,-0.0662784513229677,-0.00889141111356841,-0.00968843753849778,-0.0255707813154931
"88",7.97210378936382,-0.0588888440836842,-0.054188116842841,-0.0245004106853704,0.0286264430854457,-0.00889141111356841,-0.00968843753849778,-0.0196440331266671
"89",8.30101623692764,-0.302940072144816,-0.095252387252416,0.0105675753839807,-0.0209347587437906,-0.00889141111356841,-0.00968843753849778,-0.030559258080016
"90",7.82773437491808,0.132243963987045,-0.0486732065344239,-0.000711385786238094,-0.0366914709007647,-0.00889141111356841,-0.00968843753849778,-0.0209976116995399
