"subject","acc","model","fit"
50,0.683333333333333,"softmax(Q) * gaze",0.6485
50,0.683333333333333,"softmax(Q) + gaze",0.707166666666667
52,0.65,"Q",0.714
52,0.65,"Q * gaze",0.626333333333333
52,0.65,"Q + gaze",0.6735
52,0.65,"softmax(Q)",0.775
52,0.65,"softmax(Q * gaze)",0.673333333333334
52,0.65,"softmax(Q) * gaze",0.713666666666666
52,0.65,"softmax(Q) + gaze",0.750333333333333
53,0.8,"Q",0.721666666666667
53,0.8,"Q * gaze",0.7215
53,0.8,"Q + gaze",0.698333333333333
53,0.8,"softmax(Q)",0.845333333333334
53,0.8,"softmax(Q * gaze)",0.814
53,0.8,"softmax(Q) * gaze",0.807666666666667
53,0.8,"softmax(Q) + gaze",0.819
54,0.883333333333333,"Q",0.742166666666667
54,0.883333333333333,"Q * gaze",0.752666666666667
54,0.883333333333333,"Q + gaze",0.729833333333333
54,0.883333333333333,"softmax(Q)",0.87
54,0.883333333333333,"softmax(Q * gaze)",0.814333333333333
54,0.883333333333333,"softmax(Q) * gaze",0.8515
54,0.883333333333333,"softmax(Q) + gaze",0.858333333333333
56,0.733333333333333,"Q",0.7605
56,0.733333333333333,"Q * gaze",0.6855
56,0.733333333333333,"Q + gaze",0.742333333333334
56,0.733333333333333,"softmax(Q)",0.802
56,0.733333333333333,"softmax(Q * gaze)",0.764166666666667
56,0.733333333333333,"softmax(Q) * gaze",0.729166666666667
56,0.733333333333333,"softmax(Q) + gaze",0.778166666666666
57,0.65,"Q",0.679833333333333
57,0.65,"Q * gaze",0.662166666666667
57,0.65,"Q + gaze",0.674833333333333
57,0.65,"softmax(Q)",0.6795
57,0.65,"softmax(Q * gaze)",0.707
57,0.65,"softmax(Q) * gaze",0.658
57,0.65,"softmax(Q) + gaze",0.662166666666667
58,0.733333333333333,"Q",0.6035
58,0.733333333333333,"Q * gaze",0.6325
58,0.733333333333333,"Q + gaze",0.681833333333333
58,0.733333333333333,"softmax(Q)",0.7455
58,0.733333333333333,"softmax(Q * gaze)",0.8135
58,0.733333333333333,"softmax(Q) * gaze",0.706
58,0.733333333333333,"softmax(Q) + gaze",0.803666666666666
