"subject","trial_number","block","context","left_index","right_index","correct_resp","CHOICE_KEY","RT","left_outcome","right_outcome","chosen_option","EV_left","EV_right","correct_option","correct","choice","choice_id","pre_fix_left","pre_fix_right"
41,37,"learning",3,5,6,"right","Left",3323.44,26,29,5,27,30,5,0,5,1,0.260053619302949,0.739946380697051
41,38,"learning",1,1,2,"right","Left",4341.32,19,17,1,15,18,1,0,1,1,0.392405063291139,0.607594936708861
41,39,"learning",2,4,3,"left","Left",6409.71,24,22,4,24,21,3,1,4,1,0.413705583756345,0.586294416243655
41,40,"learning",1,1,2,"right","Left",3245.05,16,19,1,15,18,1,0,1,1,0.671328671328671,0.328671328671329
41,41,"learning",1,2,1,"left","Left",1946.54,16,18,2,18,15,1,1,2,1,1,0
41,42,"learning",1,1,2,"right","Right",2080.25,16,17,2,15,18,1,1,2,2,0.125502815768302,0.874497184231698
41,43,"learning",2,4,3,"left","Right",1469.87,24,20,3,24,21,3,0,3,2,0.32016210739615,0.67983789260385
41,44,"learning",2,4,3,"left","Left",908.16,22,24,4,24,21,3,1,4,1,0,0
41,45,"learning",1,1,2,"right","Right",1527.06,12,17,2,15,18,1,1,2,2,0.414285714285714,0.585714285714286
41,46,"learning",3,5,6,"right","Left",1777.83,28,30,5,27,30,5,0,5,1,0.587878787878788,0.412121212121212
41,47,"learning",3,6,5,"left","Right",2054.26,30,26,5,30,27,5,0,5,2,0.264285714285714,0.735714285714286
41,48,"learning",4,8,7,"left","Left",1368.8,38,34,8,36,33,7,1,8,1,0.727369542066028,0.272630457933972
41,49,"learning",4,7,8,"right","Right",1259.71,30,34,8,33,36,7,1,8,2,0.269058295964126,0.730941704035874
41,50,"learning",2,4,3,"left","Left",1575,24,20,4,24,21,3,1,4,1,1,0
41,51,"learning",2,4,3,"left","Left",1663.89,25,23,4,24,21,3,1,4,1,0.43035343035343,0.56964656964657
41,52,"learning",1,2,1,"left","Left",1063.3,18,16,2,18,15,1,1,2,1,0.645788336933045,0.354211663066955
41,53,"learning",4,7,8,"right","Left",1948.43,34,36,7,33,36,7,0,7,1,0.385542168674699,0.614457831325301
41,54,"learning",3,6,5,"left","Right",1817.85,32,25,5,30,27,5,0,5,2,0.273504273504274,0.726495726495727
41,55,"learning",3,6,5,"left","Right",5469.91,32,26,5,30,27,5,0,5,2,0.457002457002457,0.542997542997543
41,56,"learning",4,7,8,"right","Left",1117.96,30,35,7,33,36,7,0,7,1,1,0
41,57,"learning",1,1,2,"right","Right",2164.85,12,21,2,15,18,1,1,2,2,0.347490347490348,0.652509652509653
41,58,"learning",2,3,4,"right","Left",1299.47,22,20,3,21,24,3,0,3,1,0.705426356589147,0.294573643410853
41,59,"learning",1,1,2,"right","Right",1167.29,12,16,2,15,18,1,1,2,2,0.198177676537585,0.801822323462415
41,60,"learning",3,5,6,"right","Left",1951.6,28,31,5,27,30,5,0,5,1,0.474576271186441,0.525423728813559
41,61,"learning",1,2,1,"left","Left",1885.31,17,14,2,18,15,1,1,2,1,0.69060773480663,0.30939226519337
41,62,"learning",4,7,8,"right","Right",1915.42,34,36,8,33,36,7,1,8,2,0.276752767527675,0.723247232472325
41,63,"learning",4,8,7,"left","Left",2702.52,36,32,8,36,33,7,1,8,1,0.455702398433676,0.544297601566324
41,64,"learning",3,5,6,"right","Left",1897.24,24,30,5,27,30,5,0,5,1,0.57207615593835,0.42792384406165
