"subject","trial_number","context","available_option_1","available_option_2","LEFT_INDEX","UP_INDEX","RIGHT_INDEX","DOWN_INDEX","CHOICE_KEY","RT","Left_Outcome","Up_Outcome","Right_Outcome","Down_Outcome","Points","chosen_option","EV_1","EV_2","correct_option","correct","option_1","option_2","option_3","option_4","avail_1","avail_2","choice","choice_id","outcome_1","outcome_2","outcome_3","outcome_4","pre_fix_1","pre_fix_2","pre_fix_3","pre_fix_4","pre_fix_avail_1","pre_fix_avail_2","post_fix_1","post_fix_2","post_fix_3","post_fix_4"
47,5,"PSC",1,2,2,1,3,0,"Left",3001.12,46,20,28,20,149,2,23,47,2,1,5,6,7,8,6,7,7,2,20,20,46,28,0,0.447429906542056,0.378504672897196,0.174065420560748,0.447429906542056,0.378504672897196,0,0.748538011695906,0.251461988304094,0
47,6,"NSC",1,2,3,2,0,1,"Up",3044.93,32,42,11,36,191,2,37,40,2,1,1,2,3,4,2,3,3,2,11,36,42,32,0.0134292565947242,0.350119904076739,0.505035971223022,0.131414868105516,0.350119904076739,0.505035971223022,0,0.530805687203791,0.469194312796209,0
47,7,"NSC",0,1,3,2,1,0,"Down",3060.71,32,39,41,13,204,0,13,37,1,0,1,2,3,4,1,2,1,1,13,41,39,32,0.252226910454759,0.552742616033755,0.195030473511486,0,0.252226910454759,0.552742616033755,1,0,0,0
47,8,"NSC",1,3,3,0,1,2,"Left",1527.04,28,11,38,42,232,3,37,30,1,0,1,2,3,4,2,4,4,2,11,38,42,28,0,0.473360655737705,0,0.526639344262295,0.473360655737705,0.526639344262295,0,0.588541666666667,0,0.411458333333333
47,9,"NSC",0,1,1,3,0,2,"Left",1817.47,37,31,14,42,269,1,13,37,1,1,1,2,3,4,1,2,2,2,14,37,42,31,0.430434782608696,0.569565217391304,0,0,0.430434782608696,0.569565217391304,0.151183970856102,0.795992714025501,0,0.0528233151183971
47,10,"NSC",0,2,1,0,3,2,"Up",2874.18,38,14,34,40,283,0,13,40,2,0,1,2,3,4,1,3,1,1,14,38,40,34,0.652478718077116,0,0.347521281922884,0,0.652478718077116,0.347521281922884,0.511961722488038,0,0.488038277511962,0
47,11,"NSC",0,1,2,0,3,1,"Down",1262.4,42,13,27,34,317,1,13,37,1,1,1,2,3,4,1,2,2,2,13,34,42,27,0.351437699680511,0.648562300319489,0,0,0.351437699680511,0.648562300319489,0.585,0.415,0,0
47,12,"PSC",2,3,2,1,0,3,"Down",2564.64,50,28,21,27,344,3,47,30,2,0,5,6,7,8,7,8,8,2,21,28,50,27,0,0,0.76214405360134,0.23785594639866,0.76214405360134,0.23785594639866,0,0,0.28957528957529,0.71042471042471
47,13,"NSC",0,2,3,0,1,2,"Down",1237.58,31,12,37,40,384,2,13,40,2,1,1,2,3,4,1,3,3,2,12,37,40,31,0.356796116504854,0,0.643203883495146,0,0.356796116504854,0.643203883495146,0,0,0,0
47,14,"PSC",1,3,0,1,3,2,"Up",1944.79,20,22,29,50,406,1,23,30,3,0,5,6,7,8,6,8,6,1,20,22,50,29,0,0.582213029989659,0.1923474663909,0.225439503619442,0.582213029989659,0.225439503619442,0,0,0.25561797752809,0.74438202247191
